Time [s],Value,Parity Error,Framing Error
39.725834249999998,'0' (0x00),,
39.725954333333334,'2' (0x02),,
39.726074333333337,'16' (0x10),,
39.726194416666665,'128' (0x80),,
39.726314416666668,'0' (0x00),,
39.726434500000003,'4' (0x04),,
39.726554499999999,' ' (0x20),,
39.726674583333335,'0' (0x00),,
39.726794583333330,'1' (0x01),,
39.726914666666666,'8' (0x08),,
39.727034666666668,@ (0x40),,
39.727154749999997,'0' (0x00),,
39.727274749999999,'2' (0x02),,
39.727394833333335,'16' (0x10),,
39.727514833333331,'128' (0x80),,
39.727634916666666,'0' (0x00),,
39.727754916666669,'20' (0x14),,
39.739889083333331,'15' (0x0F),,
39.740009166666667,'2' (0x02),,
39.740129166666669,$ (0x24),,
39.740249249999998,'224' (0xE0),,
39.740369250000001,'231' (0xE7),,
39.740489333333336,'4' (0x04),,
39.740609333333332,'8' (0x08),,
39.740729416666667,j (0x6A),,
39.740849416666670,'0' (0x00),,
39.740969499999999,'2' (0x02),,
39.741089500000001,'16' (0x10),,
39.741209583333337,'128' (0x80),,
39.741329583333332,'0' (0x00),,
39.741449666666668,'4' (0x04),,
39.741569666666663,' ' (0x20),,
39.741689749999999,'0' (0x00),,
39.741809750000002,'1' (0x01),,
39.741929833333330,'8' (0x08),,
39.742049833333333,@ (0x40),,
39.742169916666668,'0' (0x00),,
39.742289916666664,'2' (0x02),,
39.742410000000000,'16' (0x10),,
39.742530000000002,'128' (0x80),,
39.742650083333331,'0' (0x00),,
39.742770083333333,$ (0x24),,
39.754884250000003,'15' (0x0F),,
39.755004333333332,'2' (0x02),,
39.755124333333335,$ (0x24),,
39.755244416666663,'224' (0xE0),,
39.755364416666666,'231' (0xE7),,
39.755484500000001,'4' (0x04),,
39.755604499999997,'8' (0x08),,
39.755724583333333,j (0x6A),,
39.755844583333335,'0' (0x00),,
39.755964666666664,'2' (0x02),,
39.756084666666666,'16' (0x10),,
39.756204750000002,'128' (0x80),,
39.756324749999997,'0' (0x00),,
39.756444833333333,'4' (0x04),,
39.756564833333336,' ' (0x20),,
39.756684916666664,'0' (0x00),,
39.756804916666667,'1' (0x01),,
39.756925000000003,'8' (0x08),,
39.757044999999998,@ (0x40),,
39.757165083333334,'0' (0x00),,
39.757285083333336,'2' (0x02),,
39.757405166666665,'16' (0x10),,
39.757525166666667,'128' (0x80),,
39.757645250000003,'0' (0x00),,
39.757765249999999,4 (0x34),,
39.769899416666668,'15' (0x0F),,
39.770019499999997,'2' (0x02),,
39.770139499999999,$ (0x24),,
39.770259583333335,'224' (0xE0),,
39.770379583333330,'231' (0xE7),,
39.770499666666666,'4' (0x04),,
39.770619666666668,'8' (0x08),,
39.770739749999997,j (0x6A),,
39.770859750000000,'0' (0x00),,
39.770979833333335,'2' (0x02),,
39.771099833333331,'16' (0x10),,
39.771219916666666,'128' (0x80),,
39.771339916666669,'0' (0x00),,
39.771459999999998,'4' (0x04),,
39.771580000000000,' ' (0x20),,
39.771700083333336,'0' (0x00),,
39.771820083333331,'1' (0x01),,
39.771940166666667,'8' (0x08),,
39.772060166666670,@ (0x40),,
39.772180249999998,'0' (0x00),,
39.772300250000001,'2' (0x02),,
39.772420333333336,'16' (0x10),,
39.772540333333332,'128' (0x80),,
39.772660416666668,'0' (0x00),,
39.772780416666670,'4' (0x04),,
39.774931166666669,'3' (0x03),,
39.775051166666664,'196' (0xC4),,
39.775171250000000,'0' (0x00),,
39.784904583333336,'15' (0x0F),,
39.785024666666665,'2' (0x02),,
39.785144666666667,$ (0x24),,
39.785264750000003,'224' (0xE0),,
39.785384749999999,'231' (0xE7),,
39.785504833333334,'4' (0x04),,
39.785624833333337,'8' (0x08),,
39.785744916666665,j (0x6A),,
39.785864916666668,'0' (0x00),,
39.785984999999997,'2' (0x02),,
39.786104999999999,'16' (0x10),,
39.786225083333335,'128' (0x80),,
39.786345083333330,'0' (0x00),,
39.786465166666666,'4' (0x04),,
